Race_ID,Race_Name,Driver_ID,Driver_Ref,Pit_Stop_Count,Pitted_On_Lap,Pit_Stop_Duration,Avg_Pit_Stop_Secs,Grid,Constructor_ID,Constructor_Nationality,Constructor_Name,Circuit_ID,Circuit_Name,Circuit_Country,Altitude_Metres,Race_Year,Status_ID,Race_Finish_Status,Fastest_Lap_Speed_KMH,Driver_Total_Points,Driver_Overall_Standing,Driver_Total_Wins,Avg_Lap_Time_Secs
917,Brazilian Grand Prix,18,button,3.0,50,23.383,23,5.0,1,British,McLaren,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2014,1,Finished,209.629,106,7,0,76.0
1017,French Grand Prix,826,kvyat,1.0,32,30.233,30,19.0,5,Italian,Toro Rosso,34,Circuit Paul Ricard,France,432,2019,11,+1 Lap,220.857,10,14,0,97.0
1043,Emilia Romagna Grand Prix,1,hamilton,2.0,52,30.925,30,2.0,131,German,Mercedes,21,Autodromo Enzo e Dino Ferrari,Italy,37,2020,1,Finished,234.121,282,1,9,83.0
888,German Grand Prix,820,chilton,2.0,20,19.953,19,21.0,206,Russian,Marussia,20,N++rburgring,Germany,578,2013,11,+1 Lap,188.374,0,21,0,103.0
895,Japanese Grand Prix,3,rosberg,2.0,16,17.806,17,6.0,131,German,Mercedes,22,Suzuka Circuit,Japan,45,2013,1,Finished,220.868,126,6,2,99.0
1052,Bahrain Grand Prix,4,alonso,1.0,11,24.373,24,9.0,214,French,Alpine F1 Team,3,Bahrain International Circuit,Bahrain,7,2021,23,Brakes,202.816,0,19,0,103.0
987,Brazilian Grand Prix,20,vettel,4.0,28,22.736,22,2.0,6,Italian,Ferrari,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2017,1,Finished,213.849,302,2,5,76.0
957,British Grand Prix,836,wehrlein,1.0,5,31.812,31,20.0,209,British,Manor Marussia,9,Silverstone Circuit,UK,153,2016,20,Spun off,125.634,1,17,0,168.0
1020,German Grand Prix,8,raikkonen,3.0,28,21.142,21,5.0,51,Swiss,Alfa Romeo,10,Hockenheimring,Germany,103,2019,1,Finished,206.96,25,9,0,97.0
956,Austrian Grand Prix,1,hamilton,4.0,54,22.109,22,1.0,131,German,Mercedes,70,Red Bull Ring,Austria,678,2016,1,Finished,227.647,142,2,3,73.0
912,Italian Grand Prix,8,raikkonen,1.0,20,24.547,24,11.0,6,Italian,Ferrari,14,Autodromo Nazionale di Monza,Italy,162,2014,1,Finished,234.476,41,10,0,90.0
